platform,game,username,phone,calling_code,last_login_days_ago,last_login_date
Mobile,Cabal,amy,0912345678,66,4,2025-08-11
Mobile,Cabal,ben,0998765432,66,5,2025-08-10
Mobile,Cabal,cole,0900000001,66,6,2025-08-09
Mobile,Cabal,drew,0900000002,66,7,2025-08-08
Mobile,Cabal,emma,0900000003,66,9,2025-08-06
Mobile,Cabal,felix,0900000004,66,10,2025-08-05
Mobile,Cabal,gina,0900000005,66,12,2025-08-03
Mobile,Cabal,harry,0900000006,66,14,2025-08-01
Mobile,Cabal,ivy,0900000007,66,16,2025-07-30
Mobile,Cabal,june,0900000008,66,20,2025-07-26
